,Sindex_Entry,Freq,Category
0,East,29,Organization
1,Middle East,15,Organization
2,Easter,4,Organization
3,Eastlake,2,Organization
4,East Perth,2,Organization
5,East West,2,Organization
6,Easter Rising,2,Organization
7,Brunswick East,1,Organization
8,East Lode,1,Organization
9,Eastern Mavericks,1,Organization
11,East West Pit,1,Organization
