,Sindex_Entry,Freq,Category
0,CPA,28,Organization
1,CPA Australia,4,Organization
5,CPA CEO Alex Malley,2,Organization
6,"CPA's $756,000",2,Organization
7,CPA Australia Board,2,Organization
8,CPA's Melbourne Southbank,2,Organization
10,Malley's CPA,2,Organization
11,CPA-inspired,2,Organization
12,CPAs,2,Organization
13,CPA 10,2,Organization
