,Sindex_Entry,Freq,Category
0,Ash,19,Organization
1,Ashley,15,Organization
2,Ashley Browne,3,Organization
4,Ashley Fletcher,3,Organization
5,Ashley Taylor 8,2,Organization
8,Peter Ashworth,1,Organization
9,Ashley Tecles,1,Organization
