,Sindex_Entry,Freq,Category
0,Clarke,19,Person
1,Caroline Clarke,4,Person
2,Ms Clarke,2,Person
3,Zac Clarke,2,Person
5,Emilia Clarke,1,Person
6,Lloyd Clarke,1,Person
7,Ted Clarke,1,Person
8,Rohan Clarke,1,Person
9,Clarke Park,1,Person
10,Frederick Clarke,1,Person
12,John Clarke,1,Person
13,Ron Clarke,1,Person
